"","ch","most_visited","current.age"
"S80","0000000000000000101010011000000000","S",0.547617038748118
"S85","0000000000000000101010110100000000","S",0.72010163833744
"S86","0000000000000000101010101010100100","T",0.438103007262834
"S87","0000000000000000101111111110000000","T",0.418941802178645
"S88","0000000000000000101010101011101000","T",0.476436668708419
"S90","0000000000000000101110101011111110","T",0.462747414772758
"S93","0000000000000000100001000000000000","S",0.446322185262834
"S95","0000000000000000101011101111101010","T",0.418943677391513
"S97","0000000000000000100110010101000000","S",0.509292753366872
"S98","0000000000000000100010000000000000","T",0.418947427817248
"S99","0000000000000000101011111111111000","T",0.553102116386721
"SX1","0000000000000000101110100010101010","S",0.424421254178645
"T00","0000000000000000000000000000100000","T",2.679452055
"T05","1010100000000000000000000000000000","T",0.736986301
"T09","0000000000000000000000000000001000","T",4.520547945
"T13","0011101001111100000010101000101010","T",1.608219178
"T16","1010000000000000000000000000000000","T",4.61369863
"T18","1110101011101110101010111110101010","T",8.45296428624093
"T22","1000000000000000000000000000000000","T",4.717808219
"T23","1010000000001000000000000000000000","T",4.717808219
"T24","1010101000000000000010100000000000","T",4.717808219
"T26","1010101010000000000000000000000000","T",4.717808219
"T27","1010111110000000000000000000000000","T",4.717808219
"T28","0000000000110101000010110100000000","T",4.717808219
"T30","0000100000001000000000000000000000","T",4.717808219
"T31","1101101000000000000000000000000000","T",4.717808219
"T32","1111111111101100000100001000100000","T",4.717808219
"T36","1010111010000000000000000000000000","T",4.717808219
"T42","0000000000101000001000000000000000","T",1.591780822
"T44","0000000000001010111000000000000000","T",1.46805246897604
"T45","0000000000000000101110101110111010","T",5.5187195854538
"T46","0000000000001000000000000000000000","T",2.58307033122861
"T47","0000000000000000100010000000000000","T",4.58171265711225
"T48","0000000000000000001000000000000000","T",4.50984407395003
"T49","0000000000001101111010111110101010","T",0.465753425
"T51","0000000000001010101110000000000000","T",0.542465753
"T52","0000000000001101111110000000000000","T",0.561643836
"T54","0000000000000011101110100000000000","T",1.48179798029774
"T55","0000000000000000101010000000000000","T",2.44004575579398
"T56","0000000000000011111010101010100010","T",1.5639335039117
"T57","0000000000000010101010000000000000","T",0.564383562
"T58","0000000000000010101110101010000000","T",0.567123288
"T59","0000000000000010101010110010000000","T",0.591780822
"T60","0000000000000000101010101000100000","T",2.41874865225325
"T61","0000000000000000111010000000000000","T",2.44341931274333
"T65","0000000000000000101010111011110010","T",1.463013699
"T66","0000000000000000111010100000000000","T",4.43845180185626
"T67","0000000000000000100000000000000000","T",0.553424658
"T68","0000000000000000100000000000000000","T",0.712328767
"T69","0000000000000000001010101010101010","T",5.41876177874333
"T76","0000000000000000001111110000000000","T",4.736986301
"T77","0000000000000000000010100000000000","T",1.49317693798015
"T78","0000000000000000000000100000000000","T",0.421917808
"T79","0000000000000000000000100000000000","T",0.632876712
"T80","0000000000000000000000101010101010","T",4.652054795
"T84","0000000000000000000000001111100000","T",4.635616438
"T87","0000000000000000000000000011011000","T",4.679452055
"T88","0000000000000000000000000010101010","T",4.679452055
"T90","0000000000000000000000000010101001","T",1.679452055
"T93","0000000000000000000000000010111010","T",4.679452055
"T94","0000000000000000000000000000111000","T",5.4406927142334
"T95","0000000000000000000000000000111010","T",4.635616438
"T97","0000000000000000000000000000100010","T",4.635616438
"T98","0000000000000000000000000000101000","T",4.635616438
"TX2","0000100000000000000000000000000000","T",1.55890411
"TX4","0000000000001000101010100000000000","T",0.594520548
"TX6","1010000000000000000000000000000000","T",0.556164384
"TX7","0000000000000000000000000000111111","T",4.679452055
"TX8","0000000000000000000000000000111011","T",4.679452055
"V03","0000000000000000000000101111101101","T",0.470932837941136
"V04","0000000000000000000000110101000000","S",0.550330510767967
"V05","0000000000000000000000001111101110","T",1.42370491186311
"V06","0000000000000000000000100000000000","T",0.427130975772758
"V08","0000000000000000000000100000000000","T",0.42986882655989
"V11","0000000000000000000000101100100000","T",0.618780530872005
"V12","0000000000000000000000101011111010","T",0.446295931282683
"V13","0000000000000000000000100000000000","T",0.736515615570157
"V15","0000000000000000000000001010000110","S",1.48121102967009
"V17","0000000000000000000000101010101010","T",0.476419790792608
"V18","0000000000000000000000101110101100","T",0.476419790792608
"V19","0000000000000000000000100000001000","T",0.465468387644079
"V20","0000000000000000000000101000100010","T",0.503798298663929
"V22","0000000000000000000000101010101010","T",0.427153479327173
"V23","0000000000000000000000100000000000","S",0.429891330114305
"V25","0000000000000000000000111101101011","T",0.432631056114305
"V26","0000000000000000000000100000000000","T",0.427155354540041
"V27","0000000000000000000000001111111011","T",1.56062558041273
"V29","0000000000000000000000001101101000","S",1.52503539539288
"V30","0000000000000000000000101111100000","T",0.583214724619439
"V33","0000000000000000000000001000000000","S",1.63182095215537
"V34","0000000000000000000000001011111010","T",0.446288430431211
"V35","0000000000000000000000001110000000","T",0.501045446173853
"V39","0000000000000000000000001011101110","T",0.446290305644079
"V41","0000000000000000000000000010101000","T",1.45381939530869
"V45","0000000000000000000000001100000000","T",0.503785172173854
"V47","0000000000000000000000001000010110","J",0.657106691466119
"V48","0000000000000000000000001000000000","T",0.459981434792608
"V49","0000000000000000000000000011101010","T",1.44286986737303
"V53","0000000000000000000000001010111011","T",0.46271928557974
"V55","0000000000000000000000001010101010","T",0.449033782069815
"V56","0000000000000000000000001000001010","S",0.424393124985626
"V58","0000000000000000000000001000000000","S",0.501052947025325
"V59","0000000000000000000000001010101111","T",0.446295931282683
"V61","0000000000000000000000001000100000","T",0.449045034347023
"V63","0000000000000000000000000000000010","T",4.70092730676318
"V67","0000000000000000000000000000000010","J",4.46549464162423
"V68","0000000000000000000000000010101010","T",1.49766438837303
"V70","0000000000000000000000000010100000","S",1.48123728365024
"V76","0000000000000000000000001010000000","T",0.424445631945927
"V82","0000000000000000000000000010000000","T",1.50044537005613
"V83","0000000000000000000000000010001001","S",1.71947343302669
"V84","0000000000000000000000001010101000","T",0.465537772520192
"V85","0000000000000000000000000010100100","S",1.61270662839288
"V86","0000000000000000000000000011001111","S",1.44022202880356
"V88","0000000000000000000000000010111010","T",0.459966433089665
"V91","0000000000000000000000000010100000","T",0.487344940960986
"V98","0000000000000000000000000000101010","T",1.45932322607598
"V99","0000000000000000000000000000100000","S",1.708467647705
"X95","0000000000000000000000000000111000","T",1.60165208653662
"X96","0000000000000000000000000010111011","T",0.459968308302532
"X97","0000000000000000000000000000111010","T",1.44285674088296
"X99","0000000000000000000000000000101010","T",1.53594366764545
"Y04","0000000000000000000000000000101010","T",0.495554742896646
"Y05","0000000000000000000000000000101010","T",0.443535577941136
"Y06","0000000000000000000000000000101010","T",0.438059876366872
"Y07","0000000000000000000000000000101010","T",0.473651936599589
"Y08","0000000000000000000000000000001010","T",1.52224878807118
"Y09","0000000000000000000000000000101010","T",0.626971580678987
"Y10","0000000000000000000000000000100000","S",0.577690266510609
"Y12","0000000000000000000000000000111110","T",0.72554546029295
"Y13","0000000000000000000000000000001010","T",1.57701705509103
"Y15","0000000000000000000000000000101010","T",0.741972565015743
"Y19","0000000000000000000000000000001010","T",1.54690069643258
"Y20","0000000000000000000000000000001000","S",1.60439556296235
"Y21","0000000000000000000000000000000010","S",3.64138467778166
"Y30","0000000000000000000000000000101010","T",0.51746880047091
"Y37","0000000000000000000000000000101000","T",0.511993098896646
"Y38","0000000000000000000000000000101000","S",0.566763241129363
"Y39","0000000000000000000000000000100000","S",0.624258107659138
"Y41","0000000000000000000000000000101010","T",0.533909031683778
"Y43","0000000000000000000000000000101000","T",0.41891929862423
"Y44","0000000000000000000000000000001000","T",0.449035657282683
"Y48","0000000000000000000000000000000011","S",1.43192784028884
"Y52","0000000000000000000000000000101010","T",0.418923049049966
"Y53","0000000000000000000000000000100100","T",0.429874452198494
"Y60","0000000000000000000000000000001001","S",1.53050734654141
"Y61","0000000000000000000000000000101000","S",0.451794136411362
"Y63","0000000000000000000000000000001111","T",0.454531987198494
"Y65","0000000000000000000000000000101001","S",0.613327332852156
"Y69","0000000000000000000000000000101011","T",0.418939926965777
"Y70","0000000000000000000000000000001111","T",1.4702746292245
"Y71","0000000000000000000000000000101111","T",0.492861898218344
"Y74","0000000000000000000000000000101110","S",0.572268947109514
"Y75","0000000000000000000000000000101010","T",0.438114258540041
"Y85","0000000000000000000000000000100000","T",0.418951178242984
"Y86","0000000000000000000000000000101000","T",0.512038105005476
"Y89","0000000000000000000000000000001010","T",1.43195596948186
"Y90","0000000000000000000000000000110010","T",0.588697927045175
"Y91","0000000000000000000000000000001100","T",1.45385877577892
"Y93","0000000000000000000000000000100000","S",0.509343385114305
